subject,angle,number,memorization_task,success,quality_angle,quality_long,quality_ratio,renumber
3,0,1,True,False,7.993523996394406,31.89454607890615,1.1530825179464201,1
3,0,1,True,False,4.95636064182831,25.21373890842476,1.1577735563974116,1
3,0,1,True,False,8.56331631281315,27.378123082739684,0.9834550013110401,1
3,0,1,True,False,10.122036519798142,48.8623245850077,1.2336632243382275,1
3,0,1,True,False,6.825532368996142,45.03149028490112,1.342681407144877,1
3,0,1,True,False,5.244270604760114,22.165993948393545,1.1049272163236485,1
3,0,2,False,NaN,4.338385655602383,25.51754700040239,1.1525926472541086,1
3,0,2,False,NaN,7.012519023076974,22.214089964182474,1.0863274301675472,1
3,0,2,False,NaN,6.419168675846531,18.786351334894764,1.025813678162027,1
3,0,2,False,NaN,7.50005424128984,32.629696861817436,1.0728381911693596,1
3,0,2,False,NaN,6.936465158490595,19.76985781984265,1.1044237136036763,1
3,0,2,False,NaN,5.972271639767808,24.629937767966993,1.1012904606141698,1
3,0,2,False,NaN,4.890384225398198,19.62229756140786,0.9526896256773463,1
3,0,3,True,NaN,8.453829189721723,33.88142778683791,1.1319498283431717,2
3,0,3,True,NaN,9.693773344152541,37.971069742361976,1.1623308423379293,2
3,0,3,True,NaN,8.334831479576707,36.932444825881326,1.1260673133700414,2
3,0,3,True,NaN,7.712823110682934,25.64417511460644,1.1572254301556912,2
3,0,3,True,NaN,8.630682789601392,38.71909878544032,1.1735122928505954,2
3,0,3,True,NaN,8.556965298009388,31.29870398241392,1.1955820363659786,2
3,0,3,True,NaN,10.759161356998636,43.99695772867013,0.9370771310717447,2
3,0,4,False,NaN,13.964813955270312,37.80237501350917,1.0019866437892682,2
3,0,4,False,NaN,10.208696961648172,17.113261729178067,1.0046175700402953,2
3,0,4,False,NaN,7.427101074233207,26.520983547202068,1.0245367168031414,2
3,0,4,False,NaN,7.217286565188551,23.02616048484884,0.9666981627602569,2
3,0,4,False,NaN,7.684285780668141,22.536638744895665,1.1178777626585328,2
