CODA Motion Analysis Text

Time	Markers																															
Time	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	299.083	-753.037	277.459	1	321.267	-742.727	261.491	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.133	-680.418	1.405	1	0.092	-0.650	1.743	1	1041.786	0.629	-1.775	1	0.000	0.000	0.000	0
0.006	298.780	-753.485	278.105	1	321.151	-742.528	261.281	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.290	-680.440	1.002	1	-0.125	-0.435	0.835	1	1041.263	-0.211	0.539	1	0.000	0.000	0.000	0
0.011	299.146	-753.074	277.897	1	320.972	-742.569	260.692	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.239	-680.381	0.559	1	0.214	-0.898	2.427	1	1041.714	0.336	-1.400	1	0.000	0.000	0.000	0
0.016	0.000	0.000	0.000	0	321.220	-742.847	262.505	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.213	-680.432	1.964	1	0.054	-0.659	1.656	1	1041.435	0.206	-0.730	1	0.000	0.000	0.000	0
0.021	0.000	0.000	0.000	0	321.036	-742.741	261.164	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.290	-680.341	0.596	1	-0.084	-0.204	0.730	1	1041.571	0.381	-1.269	1	0.000	0.000	0.000	0
0.026	0.000	0.000	0.000	0	320.988	-742.702	260.189	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.162	-680.633	1.494	1	-0.107	-0.257	0.509	1	1041.716	0.646	-2.487	1	0.000	0.000	0.000	0
0.031	0.000	0.000	0.000	0	320.851	-742.753	260.666	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.255	-680.393	1.527	1	-0.087	-0.256	0.279	1	1041.439	-0.204	0.092	1	0.000	0.000	0.000	0
0.036	0.000	0.000	0.000	0	321.063	-742.756	261.985	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.437	-680.202	0.048	1	-0.153	-0.360	0.729	1	1041.736	0.353	-1.526	1	0.000	0.000	0.000	0
0.041	0.000	0.000	0.000	0	321.161	-742.931	262.752	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.318	-680.263	0.685	1	0.070	-0.594	1.409	1	1041.290	-0.235	0.656	1	0.000	0.000	0.000	0
0.046	0.000	0.000	0.000	0	320.914	-742.717	261.718	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.115	-680.603	2.756	1	-0.228	-0.114	0.017	1	1041.367	0.052	-0.738	1	0.000	0.000	0.000	0
