CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-2.364	-685.672	1.072	1	-0.134	0.497	-0.912	1	1038.394	0.050	0.665	1	0.000	0.000	0.000	0	326.336	-819.692	279.001	1	343.162	-822.612	261.499	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-2.466	-685.653	-0.297	1	0.031	0.522	-0.637	1	1038.491	0.055	0.555	1	0.000	0.000	0.000	0	326.383	-819.771	278.885	1	343.144	-822.600	261.007	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-2.450	-685.646	0.182	1	0.007	0.322	-0.265	1	1038.606	0.286	-0.674	1	0.000	0.000	0.000	0	326.347	-819.809	277.432	1	343.133	-822.602	261.314	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-2.400	-685.563	0.197	1	0.043	0.252	-0.035	1	1038.530	0.227	-0.184	1	0.000	0.000	0.000	0	326.393	-819.885	278.909	1	343.139	-822.510	261.217	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-2.370	-685.685	0.807	1	0.101	0.237	0.477	1	1038.382	0.002	0.494	1	0.000	0.000	0.000	0	326.290	-819.589	279.131	1	343.012	-822.570	260.763	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-2.429	-685.673	0.490	1	0.086	0.141	0.397	1	1038.508	0.078	0.452	1	0.000	0.000	0.000	0	326.435	-819.641	277.979	1	343.084	-822.522	261.270	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-2.422	-685.677	-0.329	1	-0.034	0.216	-0.036	1	1038.703	0.584	-1.115	1	0.000	0.000	0.000	0	326.340	-819.606	279.001	1	343.009	-822.620	260.828	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-2.446	-685.653	-0.043	1	-0.121	0.558	-1.142	1	1038.719	0.532	-0.754	1	0.000	0.000	0.000	0	326.420	-819.842	277.257	1	343.154	-822.531	260.407	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-2.359	-685.747	0.283	1	0.059	0.164	-0.201	1	1038.503	0.450	-0.401	1	0.000	0.000	0.000	0	326.282	-819.761	277.984	1	343.084	-822.664	260.347	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.045	-2.363	-685.645	0.463	1	0.008	0.284	-0.440	1	1038.615	0.210	-0.568	1	0.000	0.000	0.000	0	326.359	-819.765	278.924	1	343.087	-822.422	261.837	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.050	-2.390	-685.694	-0.068	1	0.002	0.334	-0.427	1	1038.637	0.435	-0.540	1	0.000	0.000	0.000	0	326.435	-819.760	278.868	1	343.247	-822.600	263.018	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.055	-2.461	-685.600	-0.083	1	0.074	0.289	-0.034	1	1038.754	0.386	-0.502	1	0.000	0.000	0.000	0	326.407	-819.739	278.060	1	343.103	-822.455	259.951	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.060	-2.360	-685.686	0.224	1	0.005	0.268	-0.241	1	1038.458	0.285	0.318	1	0.000	0.000	0.000	0	326.452	-819.714	279.174	1	343.264	-822.706	260.360	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.065	-2.409	-685.608	-0.170	1	0.016	0.376	-0.654	1	1038.233	-0.017	0.831	1	0.000	0.000	0.000	0	326.396	-819.681	278.062	1	343.121	-822.580	260.426	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.070	-2.479	-685.634	-0.145	1	-0.212	0.601	-1.324	1	1038.569	0.138	0.152	1	0.000	0.000	0.000	0	326.369	-819.762	278.350	1	343.129	-822.428	260.423	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.075	-2.521	-685.591	-0.368	1	0.012	0.310	-0.070	1	1038.263	-0.338	2.423	1	0.000	0.000	0.000	0	326.308	-819.595	277.440	1	343.235	-822.611	261.378	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.080	-2.373	-685.617	-0.094	1	0.001	0.273	-0.640	1	1038.457	0.055	0.511	1	0.000	0.000	0.000	0	326.395	-819.614	279.421	1	343.127	-822.474	261.048	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.085	-2.388	-685.562	-0.003	1	-0.017	0.334	0.076	1	1038.402	0.223	0.577	1	0.000	0.000	0.000	0	326.234	-819.616	278.216	1	342.957	-822.468	259.330	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.090	-2.459	-685.629	-0.108	1	0.027	0.356	-0.613	1	1038.533	0.531	-0.466	1	0.000	0.000	0.000	0	326.469	-819.765	278.265	1	343.070	-822.607	260.651	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.095	-2.423	-685.689	-0.051	1	-0.016	0.292	-0.272	1	1038.635	-0.017	0.915	1	0.000	0.000	0.000	0	326.378	-819.708	278.811	1	343.215	-822.324	260.685	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.100	-2.339	-685.647	0.277	1	0.009	0.294	-0.204	1	1038.283	0.016	0.727	1	0.000	0.000	0.000	0	326.418	-819.680	279.840	1	343.191	-822.495	262.244	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.105	-2.502	-685.640	-0.299	1	0.037	0.098	0.612	1	1038.490	0.478	0.170	1	0.000	0.000	0.000	0	326.338	-819.649	277.194	1	343.113	-822.537	260.264	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.110	-2.440	-685.638	0.104	1	-0.013	0.352	-0.350	1	1038.489	0.229	0.278	1	0.000	0.000	0.000	0	326.199	-819.668	278.028	1	343.200	-822.601	261.138	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.115	-2.445	-685.586	-0.247	1	-0.055	0.196	0.092	1	1038.386	-0.195	0.794	1	0.000	0.000	0.000	0	326.435	-819.665	278.303	1	343.048	-822.616	260.540	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.120	-2.387	-685.576	0.436	1	-0.045	0.516	-1.024	1	1038.358	-0.215	1.890	1	0.000	0.000	0.000	0	326.172	-819.431	278.201	1	343.068	-822.622	259.121	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.125	-2.378	-685.628	0.210	1	0.120	0.226	0.244	1	1038.419	-0.029	1.083	1	0.000	0.000	0.000	0	326.403	-819.763	279.178	1	343.179	-822.472	259.896	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.130	-2.505	-685.648	-0.020	1	0.001	0.334	-0.522	1	1038.685	0.675	-1.052	1	0.000	0.000	0.000	0	326.402	-819.770	279.152	1	343.100	-822.699	260.141	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.135	-2.409	-685.644	0.288	1	0.218	-0.092	1.311	1	1038.408	0.220	0.935	1	0.000	0.000	0.000	0	326.487	-819.721	278.767	1	343.170	-822.694	260.638	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.140	-2.456	-685.611	-0.054	1	0.033	0.156	0.461	1	1038.648	0.657	-1.149	1	0.000	0.000	0.000	0	326.392	-819.708	278.286	1	343.126	-822.742	260.761	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
