CODA Motion Analysis Text

Time	Markers																															
Time	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	265.048	-822.366	370.354	1	285.357	-813.087	370.404	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.510	-680.341	0.385	1	0.114	-0.121	0.793	1	1041.767	0.303	-0.647	1	0.000	0.000	0.000	0
0.006	265.157	-822.587	372.035	1	285.243	-813.117	370.183	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.384	-680.591	0.903	1	0.262	-0.419	1.508	1	1041.283	-0.012	0.385	1	0.000	0.000	0.000	0
0.011	264.951	-822.351	369.601	1	285.330	-813.113	370.085	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.592	-680.176	-0.509	1	0.186	-0.473	1.480	1	1041.593	0.060	-0.481	1	0.000	0.000	0.000	0
0.016	264.808	-822.192	370.505	1	285.191	-812.929	369.059	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.553	-680.358	0.155	1	0.108	-0.369	0.910	1	1041.773	0.324	-0.851	1	0.000	0.000	0.000	0
0.021	265.019	-822.056	372.939	1	285.317	-813.107	369.967	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.444	-680.448	0.940	1	0.089	-0.178	0.352	1	1041.404	-0.246	0.883	1	0.000	0.000	0.000	0
0.026	264.939	-822.435	373.557	1	285.336	-813.200	370.664	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.394	-680.463	1.018	1	0.132	-0.021	0.467	1	1041.565	-0.048	0.071	1	0.000	0.000	0.000	0
0.031	265.185	-822.529	372.156	1	285.340	-813.173	370.462	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.488	-680.394	0.308	1	0.290	-0.364	1.221	1	1041.641	0.728	-1.616	1	0.000	0.000	0.000	0
0.036	264.885	-822.438	370.212	1	285.336	-813.083	370.124	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.560	-680.350	0.421	1	0.022	0.043	-0.197	1	1041.440	0.199	-0.705	1	0.000	0.000	0.000	0
0.041	264.920	-822.217	370.819	1	285.325	-813.025	370.314	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-15.417	-680.419	0.913	1	0.053	-0.038	0.294	1	1041.705	0.323	-0.366	1	0.000	0.000	0.000	0
