CODA Motion Analysis Text

Time	Markers																															
Time	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	297.873	-824.623	302.282	1	300.948	-814.523	295.751	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.091	-680.447	0.249	1	-0.203	-0.189	-0.402	1	1039.324	-0.035	-0.414	1	0.000	0.000	0.000	0
0.006	298.012	-824.582	302.962	1	300.987	-814.656	296.642	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.233	-680.479	-0.115	1	0.144	-0.540	0.692	1	1039.199	-0.314	0.502	1	0.000	0.000	0.000	0
0.011	297.971	-824.550	302.279	1	300.918	-814.586	296.084	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.047	-680.377	0.672	1	-0.031	-0.603	1.008	1	1039.211	-0.581	1.307	1	0.000	0.000	0.000	0
0.016	297.957	-824.676	302.035	1	301.021	-814.662	296.127	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.183	-680.420	-0.224	1	0.126	-0.673	0.874	1	1039.260	-0.397	1.581	1	0.000	0.000	0.000	0
0.021	298.049	-824.619	302.587	1	300.879	-814.597	295.658	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.106	-680.392	0.078	1	-0.088	-0.432	0.099	1	1039.365	-0.047	0.317	1	0.000	0.000	0.000	0
0.026	297.892	-824.561	301.960	1	300.885	-814.609	296.738	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.328	-680.535	-0.699	1	-0.011	-0.286	0.195	1	1039.042	-0.376	0.682	1	0.000	0.000	0.000	0
0.031	297.987	-824.539	302.502	1	300.852	-814.625	295.974	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.046	-680.552	-0.117	1	-0.083	-0.505	0.024	1	1039.302	-0.511	0.971	1	0.000	0.000	0.000	0
0.036	297.970	-824.589	303.328	1	300.829	-814.328	297.297	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.038	-680.472	0.193	1	-0.072	-0.687	0.825	1	1039.242	-0.356	1.398	1	0.000	0.000	0.000	0
0.041	297.870	-824.574	302.537	1	300.886	-814.464	295.462	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.125	-680.297	0.660	1	-0.182	-0.214	-0.210	1	1038.921	-0.300	1.464	1	0.000	0.000	0.000	0
0.046	297.919	-824.622	302.971	1	300.822	-814.312	295.350	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.123	-680.583	-0.165	1	-0.136	-0.260	0.149	1	1039.046	-0.374	1.529	1	0.000	0.000	0.000	0
0.051	297.908	-824.631	302.765	1	300.808	-814.390	296.384	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.226	-680.256	-1.006	1	-0.072	-0.584	0.593	1	1039.169	-0.251	0.644	1	0.000	0.000	0.000	0
0.056	297.943	-824.500	302.976	1	300.911	-814.367	295.964	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.338	-680.376	-0.742	1	-0.101	-0.476	0.536	1	1039.277	-0.327	0.519	1	0.000	0.000	0.000	0
0.061	297.901	-824.554	302.829	1	300.757	-814.458	295.716	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.306	-680.468	-0.863	1	0.015	-0.614	1.267	1	1039.249	-0.181	0.700	1	0.000	0.000	0.000	0
0.066	297.864	-824.400	302.302	1	300.852	-814.603	295.834	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.008	-680.596	0.916	1	0.056	-0.734	1.100	1	1039.167	0.017	-0.064	1	0.000	0.000	0.000	0
0.071	297.883	-824.562	302.222	1	300.860	-814.596	295.768	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.151	-680.465	0.127	1	-0.217	-0.138	-0.792	1	1039.200	-0.017	0.532	1	0.000	0.000	0.000	0
0.076	297.887	-824.576	302.341	1	300.818	-814.666	294.930	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.207	-680.371	-1.073	1	-0.195	-0.208	-0.553	1	1039.107	-0.752	1.578	1	0.000	0.000	0.000	0
0.081	297.941	-824.551	302.748	1	300.764	-814.391	295.984	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.252	-680.471	-0.429	1	-0.176	-0.430	0.102	1	1039.277	-0.116	0.507	1	0.000	0.000	0.000	0
0.086	297.850	-824.608	301.984	1	300.756	-814.418	295.635	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.138	-680.516	-0.711	1	-0.063	-0.456	0.373	1	1038.811	-0.685	2.402	1	0.000	0.000	0.000	0
0.091	297.864	-824.472	302.789	1	300.694	-814.607	295.492	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.225	-680.511	-0.116	1	0.062	-0.562	0.801	1	1039.300	0.051	0.554	1	0.000	0.000	0.000	0
0.096	297.870	-824.600	302.960	1	300.736	-814.432	296.006	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.170	-680.594	0.456	1	-0.025	-0.657	1.019	1	1039.228	0.174	-0.581	1	0.000	0.000	0.000	0
0.101	297.877	-824.518	303.083	1	300.760	-814.456	295.887	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.132	-680.512	-0.451	1	-0.107	-0.363	-0.155	1	1039.059	-0.482	1.538	1	0.000	0.000	0.000	0
0.106	297.813	-824.552	302.376	1	300.701	-814.406	295.979	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-4.999	-680.514	0.113	1	-0.246	-0.137	-0.606	1	1039.322	0.416	-0.838	1	0.000	0.000	0.000	0
0.111	297.780	-824.409	302.268	1	300.856	-814.472	296.441	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.282	-680.466	-0.954	1	-0.001	-0.437	0.324	1	1039.093	-0.728	1.775	1	0.000	0.000	0.000	0
0.116	297.826	-824.417	302.640	1	300.779	-814.465	296.550	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.238	-680.521	-0.376	1	-0.128	-0.282	-0.389	1	1039.495	0.342	-1.369	1	0.000	0.000	0.000	0
0.121	297.809	-824.469	302.338	1	300.690	-814.300	295.774	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.295	-680.472	-1.246	1	-0.102	-0.164	-0.614	1	1039.285	-0.194	0.333	1	0.000	0.000	0.000	0
0.126	297.780	-824.447	302.117	1	300.636	-814.357	296.335	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.122	-680.487	0.601	1	-0.159	-0.373	-0.143	1	1038.832	-0.490	1.656	1	0.000	0.000	0.000	0
0.131	297.714	-824.508	302.626	1	300.592	-814.326	294.978	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.120	-680.501	0.495	1	-0.017	-0.423	0.440	1	1039.198	-0.276	1.134	1	0.000	0.000	0.000	0
0.136	297.783	-824.578	302.790	1	300.722	-814.514	296.328	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.124	-680.455	-0.090	1	-0.034	-0.677	0.810	1	1038.797	-0.804	3.142	1	0.000	0.000	0.000	0
0.141	297.750	-824.556	302.632	1	300.637	-814.348	295.828	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.233	-680.409	-0.655	1	-0.149	-0.290	-0.174	1	1039.068	-0.162	0.776	1	0.000	0.000	0.000	0
0.146	297.722	-824.454	302.227	1	300.787	-814.435	296.005	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.234	-680.460	-0.519	1	-0.140	-0.517	0.184	1	1039.342	-0.230	0.016	1	0.000	0.000	0.000	0
0.151	297.765	-824.501	303.139	1	300.705	-814.341	296.417	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.250	-680.444	-0.330	1	0.009	-0.525	0.854	1	1039.318	-0.017	-0.126	1	0.000	0.000	0.000	0
0.156	297.751	-824.471	302.683	1	300.757	-814.569	295.859	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.192	-680.565	-0.791	1	-0.129	-0.404	-0.121	1	1039.009	-0.141	0.476	1	0.000	0.000	0.000	0
0.161	297.805	-824.475	302.814	1	300.690	-814.317	296.674	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.229	-680.466	-1.072	1	-0.180	-0.306	-0.253	1	1038.766	-0.971	2.623	1	0.000	0.000	0.000	0
0.166	297.725	-824.494	302.441	1	300.580	-814.367	295.439	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.082	-680.393	0.392	1	-0.250	-0.137	-0.567	1	1039.395	0.228	-0.574	1	0.000	0.000	0.000	0
0.171	297.667	-824.422	302.572	1	300.589	-814.448	295.999	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.168	-680.433	-0.070	1	-0.180	-0.193	-0.636	1	1039.130	-0.642	1.876	1	0.000	0.000	0.000	0
0.176	297.769	-824.422	303.021	1	300.607	-814.334	295.279	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.178	-680.385	-0.406	1	-0.202	-0.375	-0.139	1	1039.054	-0.409	1.032	1	0.000	0.000	0.000	0
0.181	297.701	-824.393	302.637	1	300.690	-814.422	296.008	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.404	-680.321	-0.747	1	-0.200	-0.164	-0.127	1	1039.186	-0.325	0.925	1	0.000	0.000	0.000	0
0.186	297.699	-824.412	302.392	1	300.607	-814.488	296.904	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.260	-680.418	-1.482	1	-0.183	-0.325	0.009	1	1039.186	0.058	0.726	1	0.000	0.000	0.000	0
0.191	297.639	-824.524	302.033	1	300.506	-814.356	295.505	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.204	-680.589	0.312	1	-0.127	-0.423	0.198	1	1039.119	-0.061	0.941	1	0.000	0.000	0.000	0
0.196	297.625	-824.486	302.382	1	300.558	-814.204	294.743	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.357	-680.298	-1.324	1	-0.068	-0.357	0.055	1	1039.177	-0.425	1.313	1	0.000	0.000	0.000	0
0.201	297.565	-824.360	302.464	1	300.529	-814.495	294.964	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.432	-680.376	-1.424	1	-0.145	-0.536	0.162	1	1039.091	-0.097	0.007	1	0.000	0.000	0.000	0
0.206	297.668	-824.419	302.722	1	300.353	-814.343	295.207	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.451	-680.447	-1.324	1	-0.174	-0.173	-0.430	1	1039.140	-0.344	1.188	1	0.000	0.000	0.000	0
0.211	297.664	-824.357	302.933	1	300.521	-814.484	295.827	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.092	-680.483	0.856	1	-0.083	-0.306	0.055	1	1039.050	-0.372	1.167	1	0.000	0.000	0.000	0
0.216	297.681	-824.386	302.692	1	300.483	-814.345	295.631	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.037	-680.510	0.960	1	-0.172	-0.305	-0.304	1	1039.251	0.028	1.118	1	0.000	0.000	0.000	0
0.221	297.736	-824.454	302.905	1	300.534	-814.256	295.292	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.117	-680.482	-0.093	1	-0.019	-0.420	0.108	1	1039.125	-0.287	1.040	1	0.000	0.000	0.000	0
