CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-8.742	-667.216	0.168	1	0.160	0.707	0.120	1	1039.164	0.251	0.050	1	0.000	0.000	0.000	0	263.100	-816.666	237.924	1	270.097	-828.454	250.001	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-8.465	-665.909	0.249	1	0.240	0.769	0.072	1	1039.154	0.542	-0.003	1	0.000	0.000	0.000	0	263.205	-815.200	237.878	1	270.253	-828.320	249.972	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-8.717	-667.191	0.248	1	0.120	0.373	0.083	1	1039.234	-0.036	-0.065	1	0.000	0.000	0.000	0	263.001	-816.782	237.828	1	270.172	-828.109	249.779	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-8.681	-666.985	0.176	1	0.310	0.875	0.122	1	1039.212	-0.108	0.062	1	0.000	0.000	0.000	0	263.201	-815.351	237.671	1	270.210	-826.725	249.813	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-8.606	-667.063	0.200	1	0.297	1.061	0.063	1	1039.250	-0.127	0.021	1	0.000	0.000	0.000	0	263.038	-816.577	237.748	1	270.163	-828.214	249.968	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-8.684	-667.185	0.170	1	0.293	1.005	-0.014	1	1039.281	-0.223	-0.104	1	0.000	0.000	0.000	0	263.214	-816.481	238.014	1	270.236	-827.727	249.796	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-8.722	-667.428	0.178	1	0.371	1.399	0.130	1	1039.291	-0.359	-0.018	1	0.000	0.000	0.000	0	263.241	-815.152	237.608	1	270.214	-827.722	249.839	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-8.637	-666.589	0.152	1	0.155	0.151	0.084	1	1039.227	0.012	-0.085	1	0.000	0.000	0.000	0	263.359	-815.651	237.924	1	270.255	-827.242	249.646	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-8.603	-666.854	0.120	1	0.228	0.569	0.020	1	1039.257	-0.119	-0.012	1	0.000	0.000	0.000	0	263.361	-815.141	237.686	1	270.138	-828.233	249.900	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
