CODA Motion Analysis Text

Time	Markers																															
Time	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	0.000	0.000	0.000	0	379.612	-669.990	478.502	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.174	-679.395	0.195	1	0.125	-0.272	1.405	1	1038.688	0.070	0.686	1	0.000	0.000	0.000	0
0.006	0.000	0.000	0.000	0	381.544	-670.047	479.384	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.183	-679.488	0.285	1	-0.096	0.023	0.150	1	1038.737	0.265	-0.102	1	0.000	0.000	0.000	0
0.011	0.000	0.000	0.000	0	383.531	-670.083	479.112	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.173	-679.558	0.444	1	-0.049	0.057	0.379	1	1038.951	0.223	-0.930	1	0.000	0.000	0.000	0
0.016	0.000	0.000	0.000	0	385.414	-670.058	478.806	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.195	-679.461	0.329	1	0.122	-0.088	1.449	1	1038.991	0.254	-0.989	1	0.000	0.000	0.000	0
0.021	0.000	0.000	0.000	0	387.537	-670.213	479.704	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.185	-679.479	0.045	1	0.035	-0.092	0.934	1	1038.446	-0.197	1.946	1	0.000	0.000	0.000	0
0.026	0.000	0.000	0.000	0	389.604	-670.280	479.671	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.372	-679.463	-0.022	1	0.020	-0.088	0.660	1	1038.625	-0.299	1.363	1	0.000	0.000	0.000	0
0.031	0.000	0.000	0.000	0	391.699	-670.163	479.297	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.171	-679.446	0.145	1	0.071	-0.037	0.946	1	1038.775	0.196	-0.148	1	0.000	0.000	0.000	0
0.036	0.000	0.000	0.000	0	393.865	-670.297	479.915	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.134	-679.618	0.480	1	-0.059	0.034	0.175	1	1038.787	0.061	-0.012	1	0.000	0.000	0.000	0
0.041	0.000	0.000	0.000	0	396.128	-670.202	479.525	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.108	-679.596	0.840	1	-0.029	-0.046	0.513	1	1038.959	0.590	-1.187	1	0.000	0.000	0.000	0
0.046	0.000	0.000	0.000	0	398.361	-670.317	480.493	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.156	-679.473	0.167	1	0.109	-0.254	1.333	1	1039.065	0.498	-1.439	1	0.000	0.000	0.000	0
0.051	0.000	0.000	0.000	0	400.692	-670.111	480.623	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-5.177	-679.496	0.037	1	0.037	-0.147	1.031	1	1038.779	0.239	0.118	1	0.000	0.000	0.000	0
