CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-4.463	-681.692	-0.059	1	0.177	-0.305	0.749	1	1038.418	-0.178	0.860	1	0.000	0.000	0.000	0	331.241	-808.362	450.740	1	349.092	-799.010	443.507	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-4.527	-681.605	-0.173	1	-0.026	-0.193	0.369	1	1038.498	0.152	-0.225	1	0.000	0.000	0.000	0	330.990	-808.257	452.008	1	348.990	-798.775	445.156	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-4.374	-681.723	0.412	1	-0.064	0.020	-0.682	1	1038.508	-0.204	0.424	1	0.000	0.000	0.000	0	330.873	-807.696	450.189	1	348.763	-798.313	443.982	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-4.859	-681.597	-1.816	1	0.005	0.034	-0.544	1	1038.620	0.474	-0.974	1	0.000	0.000	0.000	0	330.755	-807.570	451.163	1	348.448	-797.912	444.292	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-4.418	-681.614	0.608	1	0.062	-0.088	-0.667	1	1038.455	0.386	-0.120	1	0.000	0.000	0.000	0	330.404	-807.224	451.167	1	348.238	-797.533	444.727	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-4.364	-681.587	0.506	1	-0.112	0.077	-0.623	1	1038.395	-0.043	0.071	1	0.000	0.000	0.000	0	330.211	-807.206	451.488	1	347.982	-797.300	444.236	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-4.546	-681.512	-0.308	1	0.061	0.018	-0.049	1	1038.723	0.554	-2.092	1	0.000	0.000	0.000	0	329.946	-806.784	451.505	1	347.540	-796.951	444.478	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-4.572	-681.601	-0.415	1	-0.178	0.084	-0.780	1	1038.740	0.741	-1.723	1	0.000	0.000	0.000	0	329.630	-806.751	452.043	1	347.212	-796.586	446.079	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-4.592	-681.514	-0.648	1	0.040	-0.057	0.321	1	1039.067	0.740	-2.939	1	0.000	0.000	0.000	0	329.339	-806.475	452.987	1	346.807	-796.422	445.979	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.045	-4.510	-681.683	0.276	1	0.029	0.182	-0.661	1	1038.425	-0.105	0.159	1	0.000	0.000	0.000	0	328.920	-806.432	452.533	1	346.329	-795.885	446.791	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.050	-4.526	-681.643	-0.463	1	-0.114	0.186	-0.562	1	1038.762	0.392	-1.181	1	0.000	0.000	0.000	0	328.428	-806.277	453.173	1	345.764	-795.600	446.623	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.055	-4.365	-681.646	0.410	1	0.014	0.136	-0.719	1	1038.806	0.418	-0.925	1	0.000	0.000	0.000	0	327.871	-806.042	453.743	1	345.241	-795.166	446.890	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.060	-4.518	-681.647	-0.563	1	0.013	0.167	-0.687	1	1038.858	0.681	-1.828	1	0.000	0.000	0.000	0	327.295	-805.706	454.240	1	344.672	-795.023	447.830	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.065	-4.507	-681.611	0.083	1	-0.026	-0.026	-0.364	1	1038.508	-0.390	1.213	1	0.000	0.000	0.000	0	326.789	-805.672	454.767	1	344.106	-794.556	447.125	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.070	-4.525	-681.605	-0.207	1	-0.057	0.311	-1.014	1	1038.680	0.354	-0.798	1	0.000	0.000	0.000	0	326.001	-805.383	455.073	1	343.284	-794.163	447.859	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.075	-4.460	-681.654	0.455	1	-0.096	0.068	-0.597	1	1038.436	-0.288	0.644	1	0.000	0.000	0.000	0	325.413	-804.817	453.768	1	342.688	-793.716	448.214	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.080	-4.463	-681.780	-0.161	1	-0.083	0.049	-0.662	1	1038.581	-0.068	0.524	1	0.000	0.000	0.000	0	324.902	-804.788	455.596	1	342.065	-793.262	449.076	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.085	-4.514	-681.707	-0.183	1	-0.054	0.091	-0.406	1	1038.624	0.215	-0.566	1	0.000	0.000	0.000	0	324.191	-804.452	455.583	1	341.257	-792.685	449.104	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.090	-4.578	-681.716	-0.293	1	-0.014	-0.001	-0.378	1	1038.805	0.528	-1.305	1	0.000	0.000	0.000	0	323.544	-804.022	456.033	1	340.512	-792.113	449.109	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
