CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-27.223	-681.643	-0.452	1	-12.552	0.566	2.699	1	1029.624	-0.232	3.574	1	0.000	0.000	0.000	0	203.147	-876.697	301.798	1	210.716	-881.142	328.259	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-27.103	-681.686	-1.073	1	-12.249	0.134	4.053	1	1029.706	0.266	2.200	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.697	-881.278	328.576	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-26.984	-681.838	0.716	1	-12.189	-0.005	4.073	1	1029.168	-0.842	6.108	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.650	-881.217	328.025	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-26.973	-681.864	0.206	1	-12.231	-0.030	4.248	1	1029.680	0.472	1.694	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.741	-881.126	328.729	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-27.116	-681.723	-0.864	1	-12.303	0.071	3.891	1	1029.856	-0.018	2.922	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.644	-881.147	327.701	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-27.195	-681.767	-0.944	1	-12.269	0.066	3.682	1	1029.664	-0.050	3.654	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.586	-881.224	327.136	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-27.138	-681.702	-0.644	1	-12.264	-0.138	4.377	1	1029.825	-0.057	2.713	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.652	-881.372	328.189	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-27.187	-681.681	-0.832	1	-12.429	0.560	2.617	1	1029.347	-0.383	4.778	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.734	-881.162	327.771	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-27.055	-681.822	-0.358	1	-12.256	-0.478	4.926	1	1029.505	-0.493	4.352	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	210.666	-881.167	327.916	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
