CODA Motion Analysis Text

Time	Markers																											
Time	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V	Marker 13.X	Marker 13.Y	Marker 13.Z	13.V	Marker 14.X	Marker 14.Y	Marker 14.Z	14.V	Marker 15.X	Marker 15.Y	Marker 15.Z	15.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	-18.890	-678.891	-0.948	1	0.021	-0.069	0.249	1	1041.010	-0.082	0.920	1	0.000	0.000	0.000	0	331.547	-678.612	313.171	1	339.536	-675.930	305.072	1	0.000	0.000	0.000	0
0.006	-18.843	-678.886	-0.663	1	-0.157	0.320	-1.034	1	1041.233	0.344	-0.935	1	0.000	0.000	0.000	0	331.569	-678.526	312.809	1	339.566	-675.787	303.884	1	0.000	0.000	0.000	0
0.011	-18.875	-678.857	-0.668	1	0.140	0.177	0.252	1	1041.155	0.326	-0.504	1	0.000	0.000	0.000	0	331.574	-678.583	313.348	1	339.625	-676.125	305.409	1	0.000	0.000	0.000	0
0.016	-18.766	-679.054	-0.103	1	-0.046	0.187	-0.833	1	1041.053	0.030	0.811	1	0.000	0.000	0.000	0	331.565	-678.597	313.005	1	339.568	-675.903	303.963	1	0.000	0.000	0.000	0
0.021	-18.908	-678.858	-0.494	1	0.189	-0.033	0.299	1	1041.444	0.425	-1.602	1	0.000	0.000	0.000	0	331.617	-678.461	312.971	1	339.501	-675.914	304.205	1	0.000	0.000	0.000	0
0.026	-18.806	-678.787	-0.677	1	0.319	-0.497	1.544	1	1041.460	0.921	-2.785	1	0.000	0.000	0.000	0	331.651	-678.428	312.913	1	339.598	-675.934	304.969	1	0.000	0.000	0.000	0
0.031	-18.681	-678.819	-0.121	1	0.132	0.014	-0.001	1	1041.150	0.350	-0.931	1	0.000	0.000	0.000	0	331.672	-678.427	313.084	1	339.646	-675.750	304.049	1	0.000	0.000	0.000	0
0.036	-18.612	-678.995	0.935	1	-0.158	0.150	-0.769	1	1041.224	0.254	-0.800	1	0.000	0.000	0.000	0	331.722	-678.497	313.465	1	339.710	-675.761	304.386	1	0.000	0.000	0.000	0
0.041	-18.888	-678.913	-0.211	1	0.080	-0.001	-0.344	1	1041.333	-0.273	0.359	1	0.000	0.000	0.000	0	331.706	-678.345	312.792	1	339.658	-676.014	304.632	1	0.000	0.000	0.000	0
0.046	-18.913	-678.857	-0.843	1	0.157	-0.090	0.009	1	1040.871	-0.481	1.520	1	0.000	0.000	0.000	0	331.771	-678.404	312.777	1	339.696	-675.984	304.620	1	0.000	0.000	0.000	0
0.051	-18.833	-678.912	-0.603	1	0.106	-0.343	0.841	1	1041.252	0.129	-0.823	1	0.000	0.000	0.000	0	331.716	-678.403	313.110	1	339.803	-675.852	305.072	1	0.000	0.000	0.000	0
0.056	-18.882	-678.854	-0.792	1	0.113	-0.223	0.449	1	1041.519	0.714	-1.819	1	0.000	0.000	0.000	0	331.788	-678.537	313.753	1	339.864	-675.886	305.463	1	0.000	0.000	0.000	0
