CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-8.578	-681.541	0.131	1	-0.126	0.079	0.094	1	1038.837	0.042	-0.039	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.782	-892.305	81.835	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-8.723	-682.134	0.036	1	-0.224	0.143	-0.016	1	1038.846	-0.185	-0.034	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.769	-893.432	81.668	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-8.756	-682.624	0.018	1	-0.182	-0.172	0.015	1	1038.906	-0.246	-0.019	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.656	-892.421	82.004	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-8.759	-682.399	0.064	1	-0.163	-0.219	0.176	1	1038.874	-0.285	-0.000	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.715	-893.634	81.816	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-8.593	-680.738	0.091	1	0.015	0.343	0.087	1	1038.750	0.123	0.057	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.724	-892.885	81.945	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-8.754	-682.215	-0.019	1	-0.135	0.179	0.007	1	1038.805	0.021	-0.066	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.776	-893.055	81.961	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-8.664	-681.818	0.062	1	-0.137	0.129	0.037	1	1038.926	-0.555	-0.041	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.774	-893.358	82.072	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-8.893	-683.175	0.045	1	-0.197	0.116	-0.025	1	1038.872	-0.368	-0.019	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.846	-892.181	82.125	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-8.877	-683.307	0.050	1	-0.239	-0.274	0.097	1	1038.890	-0.193	-0.122	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.849	-893.438	82.240	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.045	-8.696	-682.416	0.024	1	-0.267	-0.652	-0.047	1	1038.785	0.047	-0.028	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.770	-892.708	82.454	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.050	-8.803	-682.457	0.063	1	-0.168	-0.170	-0.057	1	1038.848	-0.048	0.010	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.848	-893.047	82.342	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.055	-8.757	-682.218	-0.040	1	-0.080	0.280	-0.011	1	1038.762	0.023	-0.050	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.956	-892.468	82.566	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.060	-8.853	-682.750	-0.045	1	-0.162	0.001	0.067	1	1038.921	-0.371	-0.071	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.950	-892.205	82.734	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.065	-8.771	-682.766	0.002	1	-0.082	0.110	0.113	1	1038.856	-0.175	-0.001	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.965	-893.954	82.683	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.070	-8.705	-681.832	-0.022	1	-0.228	-0.510	-0.048	1	1038.860	-0.449	-0.007	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.920	-891.918	83.018	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.075	-8.699	-682.189	-0.089	1	-0.184	0.229	0.053	1	1038.920	-0.374	0.009	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.965	-892.882	82.991	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.080	-8.614	-682.322	0.059	1	-0.038	0.752	0.049	1	1038.863	-0.083	-0.080	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	531.932	-893.120	83.158	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
