CODA Motion Analysis Text

Time	Markers																															
Time	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	311.694	-788.428	411.998	1	320.050	-797.653	416.679	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.782	-680.005	1.064	1	-0.144	-0.234	1.754	1	1041.402	-0.430	0.283	1	0.000	0.000	0.000	0
0.006	313.545	-787.564	413.161	1	322.049	-796.624	417.398	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.906	-679.739	-0.617	1	-0.214	0.014	0.803	1	1041.236	-0.597	2.338	1	0.000	0.000	0.000	0
0.011	315.494	-786.545	414.321	1	323.891	-795.544	418.394	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-17.085	-679.692	-0.650	1	-0.026	-0.390	1.855	1	1041.605	0.654	-1.306	1	0.000	0.000	0.000	0
0.016	317.309	-785.342	415.051	1	325.801	-794.658	419.182	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.876	-679.667	-0.741	1	-0.266	0.258	-0.041	1	1041.490	0.349	-0.368	1	0.000	0.000	0.000	0
0.021	319.441	-784.258	414.173	1	327.828	-793.432	419.201	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-17.029	-679.654	-1.027	1	-0.110	-0.038	1.116	1	1041.722	0.538	-1.789	1	0.000	0.000	0.000	0
0.026	321.511	-783.467	415.331	1	329.855	-792.665	419.777	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.922	-679.626	-0.849	1	-0.243	0.226	0.332	1	1041.515	-0.308	0.395	1	0.000	0.000	0.000	0
0.031	323.362	-782.433	415.579	1	331.980	-791.612	420.811	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.904	-679.787	-0.722	1	-0.410	0.408	-0.574	1	1041.781	0.715	-1.471	1	0.000	0.000	0.000	0
0.036	325.476	-781.502	416.792	1	334.068	-790.490	420.143	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.766	-679.747	0.254	1	-0.183	-0.029	1.098	1	1041.681	0.544	-1.406	1	0.000	0.000	0.000	0
0.041	327.453	-780.544	416.553	1	336.224	-789.615	420.906	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-17.177	-679.525	-2.172	1	-0.279	0.005	0.604	1	1041.314	0.187	-0.337	1	0.000	0.000	0.000	0
0.046	329.980	-779.980	418.655	1	338.372	-788.668	420.903	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.883	-679.911	0.187	1	-0.285	0.136	0.931	1	1041.486	0.102	-0.434	1	0.000	0.000	0.000	0
0.051	332.263	-778.976	419.749	1	340.650	-787.839	421.335	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-17.069	-679.774	-0.703	1	-0.215	0.025	1.048	1	1041.136	-0.159	0.800	1	0.000	0.000	0.000	0
0.056	334.353	-778.065	417.629	1	342.968	-787.093	422.573	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.818	-679.768	-0.059	1	0.107	-0.406	2.166	1	1041.472	0.580	-0.931	1	0.000	0.000	0.000	0
0.061	337.045	-777.550	420.573	1	345.333	-786.205	422.416	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.932	-679.639	-1.184	1	-0.151	-0.197	1.500	1	1041.385	-0.013	0.379	1	0.000	0.000	0.000	0
0.066	339.092	-776.315	417.938	1	347.804	-785.623	422.984	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0	-16.860	-679.717	-0.217	1	-0.147	-0.000	0.700	1	1041.713	0.740	-2.170	1	0.000	0.000	0.000	0
